asset_id,asset_name,service_request_id,service_request_timestamp,priority,service_request_text,failure_description
2561,E-1834,SR-46192,2021-05-25T13:03:57.587000+00:00,1,Replace the limit switch on XV-18224,The rotating rake in the product cooler that is meant to distribute the product evenly across the louvers often gets the distribution rakes moved out of position due to excessive levels in the cooler and higher than desirable moisture in the cooler. This also wears other mechanical components prematurely as well.
2868,BL-1829,SR-46601,2021-06-21T10:41:03.620000+00:00,4,Vibration System Ethernet Connection and AI wiring,The fan wheel gets product build up on it over time causing it to run un-balanced. This eventually causes the pillow block bearings housings to start wearing between the cap and the outerrace of the bearing leading to pre-mature bearing failures.
10034,BL-1829,SR-46915,2021-07-13T12:27:14.293000+00:00,4,Maximum limit for AMP and  FLA for BL1829 Inestigation,The fan wheel gets product build up on it over time causing it to run un-balanced. This eventually causes the pillow block bearings housings to start wearing between the cap and the outerrace of the bearing leading to pre-mature bearing failures.
10034,BL-1829,SR-46990,2021-07-19T09:56:14.223000+00:00,1,1829 Blower - daily insopection,The fan wheel gets product build up on it over time causing it to run un-balanced. This eventually causes the pillow block bearings housings to start wearing between the cap and the outerrace of the bearing leading to pre-mature bearing failures.
2561,E-1834,SR-47403,2021-08-17T14:33:53.920000+00:00,1,Paint or mark-off step at DDG Cooler,The rotating rake in the product cooler that is meant to distribute the product evenly across the louvers often gets the distribution rakes moved out of position due to excessive levels in the cooler and higher than desirable moisture in the cooler. This also wears other mechanical components prematurely as well.
10034,BL-1829,SR-47676,2021-09-07T10:11:36.927000+00:00,1,Viraj - TP15 setpoint from 515 to 532,The fan wheel gets product build up on it over time causing it to run un-balanced. This eventually causes the pillow block bearings housings to start wearing between the cap and the outerrace of the bearing leading to pre-mature bearing failures.
2876,RV-1834,SR-47754,2021-09-13T10:12:52.890000+00:00,4,RV-1834 chain drive is rattling - possibly contributing to trips of the RV,Rotary Valve amps go high due to product build up around the bearing seals causing extra drag on the rotor. This causes the dryer to go into fast shutdown.
3686,LT-41310,SR-47802,2021-09-15T15:35:56.380000+00:00,4,Level controller not working,"gets build up on sensing rod, giving a fales reading. may just require a different technology. IE touchless"
,BL-1829,SR-47828,2021-09-17T07:20:08.440000+00:00,1,BL-1829 Ramping Issue,The fan wheel gets product build up on it over time causing it to run un-balanced. This eventually causes the pillow block bearings housings to start wearing between the cap and the outerrace of the bearing leading to pre-mature bearing failures.
2876,RV-1834,SR-47865,2021-09-20T05:47:25.387000+00:00,1,RV-1834 tripped on high AMPS,Rotary Valve amps go high due to product build up around the bearing seals causing extra drag on the rotor. This causes the dryer to go into fast shutdown.
2876,RV-1834,SR-47876,2021-09-21T08:02:15.007000+00:00,1,"RV not turning, investigation requires removal and replace",Rotary Valve amps go high due to product build up around the bearing seals causing extra drag on the rotor. This causes the dryer to go into fast shutdown.
3686,LT-41310,SR-47896,2021-09-23T09:35:45.147000+00:00,4,Please send to Viraj - Change alarming of LT-41310,"gets build up on sensing rod, giving a fales reading. may just require a different technology. IE touchless"
2563,EJ-1837,SR-48035,2021-09-30T16:47:56.457000+00:00,4,P-1837 Leaking water,The injection tube often gets clogged up from scale that is a result of using city water in a steam system that should be using RO water. 
2876,RV-1834,SR-48320,2021-10-20T21:34:37.027000+00:00,1,RV-1834  has a consistent knock in its gear box with each revolution,Rotary Valve amps go high due to product build up around the bearing seals causing extra drag on the rotor. This causes the dryer to go into fast shutdown.
6660,P-1837,SR-48637,2021-11-10T09:39:31.563000+00:00,4,P-1837 Dryer A Hydro Heater Pump Seal Leak,Multiple mechanical Seal failures due to poorly controlled water temperature that often gets over heated beyond the seal material specifications
,CV-1828,SR-50291,2022-02-15T06:49:02.580000+00:00,1,Tail bearings noisy and loose,"The conveyor has experienced premature bearing failures that has caused excessive down time to the dryer equipment. This is an inlcine auger that takes alot of thrust load, the original spherical roller bearing that was specced out on the conveyor does not take thrust load very well. We have since changed to taper roller style bearing better suited for thrust loads but we have not had enough run time on them to know if this is going to fix the issue."
2561,E-1834,SR-50359,2022-02-17T13:24:42.980000+00:00,1,Viraj - Timer chnage from 60sec to 120 sec for louver cycle,The rotating rake in the product cooler that is meant to distribute the product evenly across the louvers often gets the distribution rakes moved out of position due to excessive levels in the cooler and higher than desirable moisture in the cooler. This also wears other mechanical components prematurely as well.
2537,DC-1834,SR-50361,2022-02-17T13:32:42.210000+00:00,1,Viraj - TP14 to be chnaged to -4.25,"The dust collector has alot of moist air that goes through it causing the filter bags to clog off prematurely. This causes poor dust collection and also results in reduced air flow through the dryer system resulting in reduced dyer effeciency, and eventually down time if new filter bags are required to obtain proper air flow."
,BL-1829,SR-51229,2022-04-20T11:37:37.763000+00:00,1,Inspect bearings and coupling,The fan wheel gets product build up on it over time causing it to run un-balanced. This eventually causes the pillow block bearings housings to start wearing between the cap and the outerrace of the bearing leading to pre-mature bearing failures.
3686,LT-41310,SR-51239,2022-04-20T16:50:16.117000+00:00,1,LT-41310 and LSHH-41310 in alarm,"gets build up on sensing rod, giving a fales reading. may just require a different technology. IE touchless"
,CV-1828,SR-51715,2022-05-26T12:39:57.570000+00:00,1,CV-1828 head bearing needs replacing,"The conveyor has experienced premature bearing failures that has caused excessive down time to the dryer equipment. This is an inlcine auger that takes alot of thrust load, the original spherical roller bearing that was specced out on the conveyor does not take thrust load very well. We have since changed to taper roller style bearing better suited for thrust loads but we have not had enough run time on them to know if this is going to fix the issue."
2523,CV-1828,SR-51771,2022-05-30T16:26:07.977000+00:00,1,Drive shaft should be replaced,"The conveyor has experienced premature bearing failures that has caused excessive down time to the dryer equipment. This is an inlcine auger that takes alot of thrust load, the original spherical roller bearing that was specced out on the conveyor does not take thrust load very well. We have since changed to taper roller style bearing better suited for thrust loads but we have not had enough run time on them to know if this is going to fix the issue."
2523,CV-1828,SR-51775,2022-05-31T06:31:20.293000+00:00,1,new stuffing box assembly and shaft sleeve needed,"The conveyor has experienced premature bearing failures that has caused excessive down time to the dryer equipment. This is an inlcine auger that takes alot of thrust load, the original spherical roller bearing that was specced out on the conveyor does not take thrust load very well. We have since changed to taper roller style bearing better suited for thrust loads but we have not had enough run time on them to know if this is going to fix the issue."
2537,DC-1834,SR-51996,2022-06-16T10:55:48.817000+00:00,4,Fabricate and install insulation blankets for DC-1834,"The dust collector has alot of moist air that goes through it causing the filter bags to clog off prematurely. This causes poor dust collection and also results in reduced air flow through the dryer system resulting in reduced dyer effeciency, and eventually down time if new filter bags are required to obtain proper air flow."
2537,DC-1834,SR-51997,2022-06-16T10:58:57.733000+00:00,4,SD22 - Sandblast and Paint DC-1834,"The dust collector has alot of moist air that goes through it causing the filter bags to clog off prematurely. This causes poor dust collection and also results in reduced air flow through the dryer system resulting in reduced dyer effeciency, and eventually down time if new filter bags are required to obtain proper air flow."
2537,DC-1834,SR-52008,2022-06-17T07:52:10.247000+00:00,4,New cages are needed,"The dust collector has alot of moist air that goes through it causing the filter bags to clog off prematurely. This causes poor dust collection and also results in reduced air flow through the dryer system resulting in reduced dyer effeciency, and eventually down time if new filter bags are required to obtain proper air flow."
,BL-1829,SR-52188,2022-06-28T17:46:51.013000+00:00,4,Add second inspection/cleaning door,The fan wheel gets product build up on it over time causing it to run un-balanced. This eventually causes the pillow block bearings housings to start wearing between the cap and the outerrace of the bearing leading to pre-mature bearing failures.
2868,BL-1829,SR-52213,2022-06-30T13:25:03.537000+00:00,4,Vibration Monitoring for BL1829/25 Training,The fan wheel gets product build up on it over time causing it to run un-balanced. This eventually causes the pillow block bearings housings to start wearing between the cap and the outerrace of the bearing leading to pre-mature bearing failures.
10034,BL-1829,SR-52330,2022-07-11T11:10:54.173000+00:00,4,Guiding Bolts need backing off,The fan wheel gets product build up on it over time causing it to run un-balanced. This eventually causes the pillow block bearings housings to start wearing between the cap and the outerrace of the bearing leading to pre-mature bearing failures.
,DC-1834,SR-52345,2022-07-12T11:34:14.187000+00:00,4,Dye test the dented access door to ensure no cracks.,"The dust collector has alot of moist air that goes through it causing the filter bags to clog off prematurely. This causes poor dust collection and also results in reduced air flow through the dryer system resulting in reduced dyer effeciency, and eventually down time if new filter bags are required to obtain proper air flow."
,DC-1834,SR-52399,2022-07-16T15:45:21.390000+00:00,1,Bag found when clearing out DC1834,"The dust collector has alot of moist air that goes through it causing the filter bags to clog off prematurely. This causes poor dust collection and also results in reduced air flow through the dryer system resulting in reduced dyer effeciency, and eventually down time if new filter bags are required to obtain proper air flow."
,DC-1834,SR-52408,2022-07-18T10:28:39.753000+00:00,1,Add blanks to dryer a system ready for CSE tomorrow,"The dust collector has alot of moist air that goes through it causing the filter bags to clog off prematurely. This causes poor dust collection and also results in reduced air flow through the dryer system resulting in reduced dyer effeciency, and eventually down time if new filter bags are required to obtain proper air flow."
,DC-1834,SR-52409,2022-07-18T10:35:24.147000+00:00,1,"Remove bags, clean and replace","The dust collector has alot of moist air that goes through it causing the filter bags to clog off prematurely. This causes poor dust collection and also results in reduced air flow through the dryer system resulting in reduced dyer effeciency, and eventually down time if new filter bags are required to obtain proper air flow."
,DC-1834,SR-52565,2022-07-27T12:08:51.680000+00:00,1,Install Temporary Insulation to reduce condensation,"The dust collector has alot of moist air that goes through it causing the filter bags to clog off prematurely. This causes poor dust collection and also results in reduced air flow through the dryer system resulting in reduced dyer effeciency, and eventually down time if new filter bags are required to obtain proper air flow."
3686,LT-41310,SR-52652,2022-08-02T13:35:01.550000+00:00,4,Dryer A Sump LT has gone bad I.O.,"gets build up on sensing rod, giving a fales reading. may just require a different technology. IE touchless"
,DC-1834,SR-52682,2022-08-04T11:47:27.523000+00:00,1,Investigate high DP across DC-1834,"The dust collector has alot of moist air that goes through it causing the filter bags to clog off prematurely. This causes poor dust collection and also results in reduced air flow through the dryer system resulting in reduced dyer effeciency, and eventually down time if new filter bags are required to obtain proper air flow."
,DC-1834,SR-52701,2022-08-05T12:50:25.920000+00:00,1,Troubleshoot DC-1834 for change in air flow pattern,"The dust collector has alot of moist air that goes through it causing the filter bags to clog off prematurely. This causes poor dust collection and also results in reduced air flow through the dryer system resulting in reduced dyer effeciency, and eventually down time if new filter bags are required to obtain proper air flow."
2561,E-1834,SR-52732,2022-08-08T15:11:21.193000+00:00,1,Clean off fresh air intake screen for E-1834 cooler.  Intake is located on top of MCC-3821.,The rotating rake in the product cooler that is meant to distribute the product evenly across the louvers often gets the distribution rakes moved out of position due to excessive levels in the cooler and higher than desirable moisture in the cooler. This also wears other mechanical components prematurely as well.
2537,DC-1834,SR-52752,2022-08-09T13:24:05.040000+00:00,4,Dust collector Outlet Pressure TP change,"The dust collector has alot of moist air that goes through it causing the filter bags to clog off prematurely. This causes poor dust collection and also results in reduced air flow through the dryer system resulting in reduced dyer effeciency, and eventually down time if new filter bags are required to obtain proper air flow."
2561,E-1834,SR-52770,2022-08-10T11:34:59.233000+00:00,4,Adjust down the Slinger level in the cooler,The rotating rake in the product cooler that is meant to distribute the product evenly across the louvers often gets the distribution rakes moved out of position due to excessive levels in the cooler and higher than desirable moisture in the cooler. This also wears other mechanical components prematurely as well.
2537,DC-1834,SR-52788,2022-08-11T09:28:07.663000+00:00,4,Dust collector outlet pressure TP14,"The dust collector has alot of moist air that goes through it causing the filter bags to clog off prematurely. This causes poor dust collection and also results in reduced air flow through the dryer system resulting in reduced dyer effeciency, and eventually down time if new filter bags are required to obtain proper air flow."
2537,DC-1834,SR-52900,2022-08-19T07:47:09.207000+00:00,1,AirSweeps (DC1834) Dryer A Commissioning Electric,"The dust collector has alot of moist air that goes through it causing the filter bags to clog off prematurely. This causes poor dust collection and also results in reduced air flow through the dryer system resulting in reduced dyer effeciency, and eventually down time if new filter bags are required to obtain proper air flow."
2537,DC-1834,SR-52952,2022-08-23T10:55:56.607000+00:00,4,AirSweep Commissioning Day,"The dust collector has alot of moist air that goes through it causing the filter bags to clog off prematurely. This causes poor dust collection and also results in reduced air flow through the dryer system resulting in reduced dyer effeciency, and eventually down time if new filter bags are required to obtain proper air flow."
2537,DC-1834,SR-52954,2022-08-23T11:01:40.907000+00:00,4,AirSweep Commissioning Day,"The dust collector has alot of moist air that goes through it causing the filter bags to clog off prematurely. This causes poor dust collection and also results in reduced air flow through the dryer system resulting in reduced dyer effeciency, and eventually down time if new filter bags are required to obtain proper air flow."
2537,DC-1834,SR-52999,2022-08-25T12:29:26.160000+00:00,1,Air Line Bleed installation for the new AirSweep System on DC1834,"The dust collector has alot of moist air that goes through it causing the filter bags to clog off prematurely. This causes poor dust collection and also results in reduced air flow through the dryer system resulting in reduced dyer effeciency, and eventually down time if new filter bags are required to obtain proper air flow."
6660,P-1837,SR-53098,2022-08-30T15:58:48.723000+00:00,4,"P1837 seal leak, repair",Multiple mechanical Seal failures due to poorly controlled water temperature that often gets over heated beyond the seal material specifications
6660,P-1837,SR-53121,2022-08-31T14:02:20.767000+00:00,1,P1837 motor and seal repair,Multiple mechanical Seal failures due to poorly controlled water temperature that often gets over heated beyond the seal material specifications
10034,BL-1829,SR-53125,2022-08-31T15:55:30.750000+00:00,4,Inspect bearings and re-pack,The fan wheel gets product build up on it over time causing it to run un-balanced. This eventually causes the pillow block bearings housings to start wearing between the cap and the outerrace of the bearing leading to pre-mature bearing failures.
10034,BL-1829,SR-53150,2022-09-01T07:50:00+00:00,1,Blower vibrations higher than maximum levels,The fan wheel gets product build up on it over time causing it to run un-balanced. This eventually causes the pillow block bearings housings to start wearing between the cap and the outerrace of the bearing leading to pre-mature bearing failures.
10034,BL-1829,SR-53152,2022-09-02T09:25:47.063000+00:00,4,Dryer SD Sept 14 - Bl-1829 Drill and Tap VTs,The fan wheel gets product build up on it over time causing it to run un-balanced. This eventually causes the pillow block bearings housings to start wearing between the cap and the outerrace of the bearing leading to pre-mature bearing failures.
3686,LT-41310,SR-53164,2022-09-04T21:05:12.067000+00:00,1,Dryer A Sump: Bad I/O,"gets build up on sensing rod, giving a fales reading. may just require a different technology. IE touchless"
2561,E-1834,SR-53179,2022-09-06T12:04:55.307000+00:00,4,E1834 adjust louver timer from 150sec to 120 sec,The rotating rake in the product cooler that is meant to distribute the product evenly across the louvers often gets the distribution rakes moved out of position due to excessive levels in the cooler and higher than desirable moisture in the cooler. This also wears other mechanical components prematurely as well.
10034,BL-1829,SR-53202,2022-09-06T16:41:46.440000+00:00,1,Replace housing shaft seals,The fan wheel gets product build up on it over time causing it to run un-balanced. This eventually causes the pillow block bearings housings to start wearing between the cap and the outerrace of the bearing leading to pre-mature bearing failures.
2561,E-1834,SR-53235,2022-09-08T09:13:15.693000+00:00,4,Adjust the cooler louver timer TP35 to 100 sec,The rotating rake in the product cooler that is meant to distribute the product evenly across the louvers often gets the distribution rakes moved out of position due to excessive levels in the cooler and higher than desirable moisture in the cooler. This also wears other mechanical components prematurely as well.
3411,RV-1834,SR-53275,2022-09-09T11:12:18.013000+00:00,1,RV-1834 chain broke (Dryer A dust collector RV),Rotary Valve amps go high due to product build up around the bearing seals causing extra drag on the rotor. This causes the dryer to go into fast shutdown.
3686,LT-41310,SR-53315,2022-09-13T06:08:49.370000+00:00,1,Dryer A Sump pit & assosiated equipment,"gets build up on sensing rod, giving a fales reading. may just require a different technology. IE touchless"
2523,CV-1828,SR-53326,2022-09-13T15:24:46.257000+00:00,1,Inspect and fix leaks,"The conveyor has experienced premature bearing failures that has caused excessive down time to the dryer equipment. This is an inlcine auger that takes alot of thrust load, the original spherical roller bearing that was specced out on the conveyor does not take thrust load very well. We have since changed to taper roller style bearing better suited for thrust loads but we have not had enough run time on them to know if this is going to fix the issue."
,P-1837,SR-53446,2022-09-20T09:52:55.897000+00:00,1,PRV off of P1837 recirc line leaking,Multiple mechanical Seal failures due to poorly controlled water temperature that often gets over heated beyond the seal material specifications
10034,BL-1829,SR-53463,2022-09-21T12:07:45.063000+00:00,4,TP15 Main Fan Amp setpoint change,The fan wheel gets product build up on it over time causing it to run un-balanced. This eventually causes the pillow block bearings housings to start wearing between the cap and the outerrace of the bearing leading to pre-mature bearing failures.
2561,E-1834,SR-54161,2022-11-04T01:20:20.703000+00:00,1,Loud Motor (Dryer A product cooler),The rotating rake in the product cooler that is meant to distribute the product evenly across the louvers often gets the distribution rakes moved out of position due to excessive levels in the cooler and higher than desirable moisture in the cooler. This also wears other mechanical components prematurely as well.
,DC-1834,SR-55012,2023-01-03T04:51:55.460000+00:00,4,"DC 1834 Air Sweep ""A"" came loose","The dust collector has alot of moist air that goes through it causing the filter bags to clog off prematurely. This causes poor dust collection and also results in reduced air flow through the dryer system resulting in reduced dyer effeciency, and eventually down time if new filter bags are required to obtain proper air flow."
,BL-1829,SR-55118,2023-01-06T14:46:13.853000+00:00,4,BL-1829- inspect aluminum air seal rings,The fan wheel gets product build up on it over time causing it to run un-balanced. This eventually causes the pillow block bearings housings to start wearing between the cap and the outerrace of the bearing leading to pre-mature bearing failures.
2537,DC-1834,SR-55773,2023-02-10T07:53:29.950000+00:00,1,"DC-1834 ""D"" blast puck leaking air.","The dust collector has alot of moist air that goes through it causing the filter bags to clog off prematurely. This causes poor dust collection and also results in reduced air flow through the dryer system resulting in reduced dyer effeciency, and eventually down time if new filter bags are required to obtain proper air flow."
,P-1837,SR-55788,2023-02-10T16:14:18.797000+00:00,4,P-1837 Leak from pump,Multiple mechanical Seal failures due to poorly controlled water temperature that often gets over heated beyond the seal material specifications
,BL-1829,SR-56147,2023-03-03T20:57:31.947000+00:00,1,Steam leak on BL-1829,The fan wheel gets product build up on it over time causing it to run un-balanced. This eventually causes the pillow block bearings housings to start wearing between the cap and the outerrace of the bearing leading to pre-mature bearing failures.
,BL-1829,SR-56369,2023-03-16T08:44:44.447000+00:00,1,BL-1829 HPW and bearings High vibrations noted,The fan wheel gets product build up on it over time causing it to run un-balanced. This eventually causes the pillow block bearings housings to start wearing between the cap and the outerrace of the bearing leading to pre-mature bearing failures.
,BL-1829,SR-56535,2023-03-24T11:10:46.970000+00:00,4,Swap out Non DE Bearing in BL-1829,The fan wheel gets product build up on it over time causing it to run un-balanced. This eventually causes the pillow block bearings housings to start wearing between the cap and the outerrace of the bearing leading to pre-mature bearing failures.
,DC-1834,SR-56671,2023-04-01T14:02:20.270000+00:00,4,Replace all Solenoid Valves on DC-1834,"The dust collector has alot of moist air that goes through it causing the filter bags to clog off prematurely. This causes poor dust collection and also results in reduced air flow through the dryer system resulting in reduced dyer effeciency, and eventually down time if new filter bags are required to obtain proper air flow."
3686,LT-41310,SR-56678,2023-04-01T22:29:16.327000+00:00,4,Output signal on LT41310 probe,"gets build up on sensing rod, giving a fales reading. may just require a different technology. IE touchless"
10034,BL-1829,SR-57188,2023-04-27T10:33:44.740000+00:00,4,BL-1829 South Door install insulation.,The fan wheel gets product build up on it over time causing it to run un-balanced. This eventually causes the pillow block bearings housings to start wearing between the cap and the outerrace of the bearing leading to pre-mature bearing failures.
,DC-1834,SR-57613,2023-05-17T14:16:04.293000+00:00,4,TA2024 Change out next 25 cages to SS on DC-1834,"The dust collector has alot of moist air that goes through it causing the filter bags to clog off prematurely. This causes poor dust collection and also results in reduced air flow through the dryer system resulting in reduced dyer effeciency, and eventually down time if new filter bags are required to obtain proper air flow."
,CV-1828,SR-58321,2023-06-21T07:32:27.093000+00:00,4,Troubleshoot CV-1828 dumping to pad,"The conveyor has experienced premature bearing failures that has caused excessive down time to the dryer equipment. This is an inlcine auger that takes alot of thrust load, the original spherical roller bearing that was specced out on the conveyor does not take thrust load very well. We have since changed to taper roller style bearing better suited for thrust loads but we have not had enough run time on them to know if this is going to fix the issue."
2561,E-1834,SR-58740,2023-07-18T11:24:36.657000+00:00,1,Review Level switch vs timer/rake AMP,The rotating rake in the product cooler that is meant to distribute the product evenly across the louvers often gets the distribution rakes moved out of position due to excessive levels in the cooler and higher than desirable moisture in the cooler. This also wears other mechanical components prematurely as well.
3060,RV-1834,SR-60300,2023-10-11T15:56:52.300000+00:00,4,Viraj- Review Delay high AMP on RV1834,Rotary Valve amps go high due to product build up around the bearing seals causing extra drag on the rotor. This causes the dryer to go into fast shutdown.
