asset_id,asset_name,service_request_id,service_request_timestamp,priority,service_request_text,failure_description
,BL-1829,SR-60529,2023-10-23T11:16:35.880000+00:00,1,Complete blower blade cleaning,The fan wheel gets product build up on it over time causing it to run un-balanced. This eventually causes the pillow block bearings housings to start wearing between the cap and the outerrace of the bearing leading to pre-mature bearing failures.
,P-1837,SR-60668,2023-10-30T02:08:38.923000+00:00,4,DROA - P1837 recirculation pump Leaking heavily,Multiple mechanical Seal failures due to poorly controlled water temperature that often gets over heated beyond the seal material specifications
,CV-1828,SR-60672,2023-10-30T09:44:49.677000+00:00,1,Repair/modify scaffold at CV1828,"The conveyor has experienced premature bearing failures that has caused excessive down time to the dryer equipment. This is an inlcine auger that takes alot of thrust load, the original spherical roller bearing that was specced out on the conveyor does not take thrust load very well. We have since changed to taper roller style bearing better suited for thrust loads but we have not had enough run time on them to know if this is going to fix the issue."
,CV-1828,SR-60674,2023-10-30T09:53:44.630000+00:00,4,Repair cladding on CV-1828,"The conveyor has experienced premature bearing failures that has caused excessive down time to the dryer equipment. This is an inlcine auger that takes alot of thrust load, the original spherical roller bearing that was specced out on the conveyor does not take thrust load very well. We have since changed to taper roller style bearing better suited for thrust loads but we have not had enough run time on them to know if this is going to fix the issue."
,DC-1834,SR-60760,2023-11-03T05:07:08.837000+00:00,1,DC-1834 Blockage or Debris,"The dust collector has alot of moist air that goes through it causing the filter bags to clog off prematurely. This causes poor dust collection and also results in reduced air flow through the dryer system resulting in reduced dyer effeciency, and eventually down time if new filter bags are required to obtain proper air flow."
,P-1837,SR-60771,2023-11-03T13:49:26.003000+00:00,4,P1837 Recirculation pump leaking bad,Multiple mechanical Seal failures due to poorly controlled water temperature that often gets over heated beyond the seal material specifications
,DC-1834,SR-60812,2023-11-06T11:25:17.257000+00:00,4,Ensure insulation and air hammer cables are secure DC-1834,"The dust collector has alot of moist air that goes through it causing the filter bags to clog off prematurely. This causes poor dust collection and also results in reduced air flow through the dryer system resulting in reduced dyer effeciency, and eventually down time if new filter bags are required to obtain proper air flow."
,RV-1834,SR-61256,2023-11-22T08:55:03.260000+00:00,1,RV 1834 motor replace,Rotary Valve amps go high due to product build up around the bearing seals causing extra drag on the rotor. This causes the dryer to go into fast shutdown.
,BL-1829,SR-61841,2023-12-18T13:21:39.403000+00:00,1,DROA - BL-1829 inspect aluminum air seal rings,The fan wheel gets product build up on it over time causing it to run un-balanced. This eventually causes the pillow block bearings housings to start wearing between the cap and the outerrace of the bearing leading to pre-mature bearing failures.
,DC-1834,SR-61842,2023-12-18T13:48:46.640000+00:00,4,DROA - Inspect dust collector plenum,"The dust collector has alot of moist air that goes through it causing the filter bags to clog off prematurely. This causes poor dust collection and also results in reduced air flow through the dryer system resulting in reduced dyer effeciency, and eventually down time if new filter bags are required to obtain proper air flow."
2563,EJ-1837,SR-62200,2024-01-08T10:59:24.610000+00:00,1,The hydroheater for the Turbo-Tak is leaking badly.,The injection tube often gets clogged up from scale that is a result of using city water in a steam system that should be using RO water. 
2563,EJ-1837,SR-62215,2024-01-08T14:06:43.280000+00:00,1,The hydroheater for the Turbo-Tak is leaking badly.,The injection tube often gets clogged up from scale that is a result of using city water in a steam system that should be using RO water. 
2561,E-1834,SR-62531,2024-01-17T10:49:44.537000+00:00,4,DROA - Change hydraulic oil in cooler,The rotating rake in the product cooler that is meant to distribute the product evenly across the louvers often gets the distribution rakes moved out of position due to excessive levels in the cooler and higher than desirable moisture in the cooler. This also wears other mechanical components prematurely as well.
2563,EJ-1837,SR-62559,2024-01-18T14:43:38.387000+00:00,4,Steam injection tube is plugged EJ-1837,The injection tube often gets clogged up from scale that is a result of using city water in a steam system that should be using RO water. 
,P-1837,SR-62561,2024-01-18T14:53:12.573000+00:00,4,we need a spare pump for P 1837,Multiple mechanical Seal failures due to poorly controlled water temperature that often gets over heated beyond the seal material specifications
,DC-1834,SR-62609,2024-01-23T04:23:46.007000+00:00,4,DC-1834 'D' Air Puck Not Cycling,"The dust collector has alot of moist air that goes through it causing the filter bags to clog off prematurely. This causes poor dust collection and also results in reduced air flow through the dryer system resulting in reduced dyer effeciency, and eventually down time if new filter bags are required to obtain proper air flow."
2537,DC-1834,SR-62667,2024-01-25T16:47:07.740000+00:00,1,DROA - Dryer A - Dust collector - BAG CATCH GRID Removal,"The dust collector has alot of moist air that goes through it causing the filter bags to clog off prematurely. This causes poor dust collection and also results in reduced air flow through the dryer system resulting in reduced dyer effeciency, and eventually down time if new filter bags are required to obtain proper air flow."
,DC-1834,SR-62806,2024-02-01T09:35:49.707000+00:00,4,TA24 Spring - Internal cleaning of DC-1834,"The dust collector has alot of moist air that goes through it causing the filter bags to clog off prematurely. This causes poor dust collection and also results in reduced air flow through the dryer system resulting in reduced dyer effeciency, and eventually down time if new filter bags are required to obtain proper air flow."
10034,BL-1829,SR-62963,2024-02-09T08:57:53.423000+00:00,1,(ADD) TA24 VIB24 - Inspect/Change DE bearing BL-1829,The fan wheel gets product build up on it over time causing it to run un-balanced. This eventually causes the pillow block bearings housings to start wearing between the cap and the outerrace of the bearing leading to pre-mature bearing failures.
2537,DC-1834,SR-63043,2024-02-12T07:32:20.747000+00:00,1,Repair insulation blankets on DC-1834 hopper,"The dust collector has alot of moist air that goes through it causing the filter bags to clog off prematurely. This causes poor dust collection and also results in reduced air flow through the dryer system resulting in reduced dyer effeciency, and eventually down time if new filter bags are required to obtain proper air flow."
,BL-1829,SR-63337,2024-02-26T10:47:14.747000+00:00,4,DROA - Balance fan wheel BL-1829,The fan wheel gets product build up on it over time causing it to run un-balanced. This eventually causes the pillow block bearings housings to start wearing between the cap and the outerrace of the bearing leading to pre-mature bearing failures.
2563,EJ-1837,SR-64542,2024-05-02T11:42:56.083000+00:00,1,(Add) TA24 Spring - Inspect Steam/water strainers for Turbotak System,The injection tube often gets clogged up from scale that is a result of using city water in a steam system that should be using RO water. 
2876,RV-1834,SR-65239,2024-06-06T03:33:40.927000+00:00,4,RV 1834 is making an unusual noise,Rotary Valve amps go high due to product build up around the bearing seals causing extra drag on the rotor. This causes the dryer to go into fast shutdown.
,BL-1829,SR-65356,2024-06-13T09:26:23.373000+00:00,4,TA24 Fall - DROA - BL-1829 Change suction/discharge expansion boots,The fan wheel gets product build up on it over time causing it to run un-balanced. This eventually causes the pillow block bearings housings to start wearing between the cap and the outerrace of the bearing leading to pre-mature bearing failures.
,RV-1834,SR-65472,2024-06-19T05:01:18.180000+00:00,1,RV-1834 Chain Inspection,Rotary Valve amps go high due to product build up around the bearing seals causing extra drag on the rotor. This causes the dryer to go into fast shutdown.
2876,RV-1834,SR-65490,2024-06-19T13:47:52.013000+00:00,1,DROA - Change out RV-1834,Rotary Valve amps go high due to product build up around the bearing seals causing extra drag on the rotor. This causes the dryer to go into fast shutdown.
2561,E-1834,SR-65519,2024-06-20T12:22:11.660000+00:00,4,TA24 Fall - INSTALL REPLACEMENT E-1834,The rotating rake in the product cooler that is meant to distribute the product evenly across the louvers often gets the distribution rakes moved out of position due to excessive levels in the cooler and higher than desirable moisture in the cooler. This also wears other mechanical components prematurely as well.
2876,RV-1834,SR-65569,2024-06-21T14:42:13.120000+00:00,4,Rebuild RV-1834,Rotary Valve amps go high due to product build up around the bearing seals causing extra drag on the rotor. This causes the dryer to go into fast shutdown.
,CV-1828,SR-66075,2024-07-18T07:35:28.677000+00:00,1,Failed bearing CV-1828,"The conveyor has experienced premature bearing failures that has caused excessive down time to the dryer equipment. This is an inlcine auger that takes alot of thrust load, the original spherical roller bearing that was specced out on the conveyor does not take thrust load very well. We have since changed to taper roller style bearing better suited for thrust loads but we have not had enough run time on them to know if this is going to fix the issue."
,CV-1828,SR-66157,2024-07-22T17:17:07.400000+00:00,1,CV-1828 belt and sheave replace,"The conveyor has experienced premature bearing failures that has caused excessive down time to the dryer equipment. This is an inlcine auger that takes alot of thrust load, the original spherical roller bearing that was specced out on the conveyor does not take thrust load very well. We have since changed to taper roller style bearing better suited for thrust loads but we have not had enough run time on them to know if this is going to fix the issue."
,CV-1828,SR-66196,2024-07-24T06:00:49.260000+00:00,4,DRO - Repair belt guards on CV-1828,"The conveyor has experienced premature bearing failures that has caused excessive down time to the dryer equipment. This is an inlcine auger that takes alot of thrust load, the original spherical roller bearing that was specced out on the conveyor does not take thrust load very well. We have since changed to taper roller style bearing better suited for thrust loads but we have not had enough run time on them to know if this is going to fix the issue."
,CV-1828,SR-66220,2024-07-25T10:10:18.490000+00:00,4,TA24 Fall- Change drive and driven end bearing and send  for analysis,"The conveyor has experienced premature bearing failures that has caused excessive down time to the dryer equipment. This is an inlcine auger that takes alot of thrust load, the original spherical roller bearing that was specced out on the conveyor does not take thrust load very well. We have since changed to taper roller style bearing better suited for thrust loads but we have not had enough run time on them to know if this is going to fix the issue."
,P-1837,SR-66262,2024-07-26T11:12:33.363000+00:00,4,TA24 Fall - I/E -  Kieth  work with Erica F on P1837 testing  (2hr),Multiple mechanical Seal failures due to poorly controlled water temperature that often gets over heated beyond the seal material specifications
,P-1837,SR-66303,2024-07-30T08:44:20.070000+00:00,4,DRO - Inspect P1837 seal and PSV,Multiple mechanical Seal failures due to poorly controlled water temperature that often gets over heated beyond the seal material specifications
,DC-1834,SR-66335,2024-07-31T01:51:17.207000+00:00,4,DRO - Small hole in DC1834 hopper,"The dust collector has alot of moist air that goes through it causing the filter bags to clog off prematurely. This causes poor dust collection and also results in reduced air flow through the dryer system resulting in reduced dyer effeciency, and eventually down time if new filter bags are required to obtain proper air flow."
,BL-1829,SR-66349,2024-07-31T10:18:59.100000+00:00,4,DRO- take down fence for HPW and reinstall after work,The fan wheel gets product build up on it over time causing it to run un-balanced. This eventually causes the pillow block bearings housings to start wearing between the cap and the outerrace of the bearing leading to pre-mature bearing failures.
2876,RV-1834,SR-66367,2024-07-31T12:55:55.027000+00:00,1,RV1834 HH amps,Rotary Valve amps go high due to product build up around the bearing seals causing extra drag on the rotor. This causes the dryer to go into fast shutdown.
,RV-1834,SR-66389,2024-08-01T12:47:18.803000+00:00,4,RV-1834 Design Review - repeat failure,Rotary Valve amps go high due to product build up around the bearing seals causing extra drag on the rotor. This causes the dryer to go into fast shutdown.
,BL-1829,SR-66493,2024-08-08T11:33:26.197000+00:00,4,TA 24 Fall-Change bearings on BL-1829,The fan wheel gets product build up on it over time causing it to run un-balanced. This eventually causes the pillow block bearings housings to start wearing between the cap and the outerrace of the bearing leading to pre-mature bearing failures.
,DC-1834,SR-66731,2024-08-21T13:47:34.383000+00:00,1,REMOVE INSULATION ON INLET FLANGE FROM E-1834 TO DC-1834,"The dust collector has alot of moist air that goes through it causing the filter bags to clog off prematurely. This causes poor dust collection and also results in reduced air flow through the dryer system resulting in reduced dyer effeciency, and eventually down time if new filter bags are required to obtain proper air flow."
,RV-1834,SR-66852,2024-08-28T10:49:40.427000+00:00,4,Remove RV-1834 Motor and Install on New Unit,Rotary Valve amps go high due to product build up around the bearing seals causing extra drag on the rotor. This causes the dryer to go into fast shutdown.
,CV-1828,SR-66874,2024-08-28T17:04:50.407000+00:00,1,"Cement blocks appear to have got bumped , So scaffold leg does not look to be positioned properly","The conveyor has experienced premature bearing failures that has caused excessive down time to the dryer equipment. This is an inlcine auger that takes alot of thrust load, the original spherical roller bearing that was specced out on the conveyor does not take thrust load very well. We have since changed to taper roller style bearing better suited for thrust loads but we have not had enough run time on them to know if this is going to fix the issue."
2537,DC-1834,SR-67323,2024-09-27T08:27:48.940000+00:00,1,RIGGING ASSISTANCE FOR DC-1834 REMOVAL AND INSTALL (CONNOR?),"The dust collector has alot of moist air that goes through it causing the filter bags to clog off prematurely. This causes poor dust collection and also results in reduced air flow through the dryer system resulting in reduced dyer effeciency, and eventually down time if new filter bags are required to obtain proper air flow."
2537,DC-1834,SR-67324,2024-09-27T08:31:19.703000+00:00,4,TA24 Fall - REMOVE INSTRUMENTATION ON DC-1834,"The dust collector has alot of moist air that goes through it causing the filter bags to clog off prematurely. This causes poor dust collection and also results in reduced air flow through the dryer system resulting in reduced dyer effeciency, and eventually down time if new filter bags are required to obtain proper air flow."
,RV-1834,SR-68245,2024-11-25T15:37:55.487000+00:00,4,Clean and overhaul RV-1834,Rotary Valve amps go high due to product build up around the bearing seals causing extra drag on the rotor. This causes the dryer to go into fast shutdown.
,BL-1829,SR-68367,2024-12-03T16:26:56.230000+00:00,4,Dryer A Fan Bearing/Winding Temperature Sensor Review/Fix,The fan wheel gets product build up on it over time causing it to run un-balanced. This eventually causes the pillow block bearings housings to start wearing between the cap and the outerrace of the bearing leading to pre-mature bearing failures.
2868,BL-1829,SR-68564,2024-12-16T10:32:39.563000+00:00,4,I/E Keith L - Rockwell Support for BL1829 Dryer A SD Work,The fan wheel gets product build up on it over time causing it to run un-balanced. This eventually causes the pillow block bearings housings to start wearing between the cap and the outerrace of the bearing leading to pre-mature bearing failures.
,DC-1834,SR-68579,2024-12-16T17:37:06.363000+00:00,1,Open Dust 1834 collector and inspect,"The dust collector has alot of moist air that goes through it causing the filter bags to clog off prematurely. This causes poor dust collection and also results in reduced air flow through the dryer system resulting in reduced dyer effeciency, and eventually down time if new filter bags are required to obtain proper air flow."
10034,BL-1829,SR-69388,2025-01-28T12:53:27.127000+00:00,4,Dryer A repair - change suction and inlet expansion joints,The fan wheel gets product build up on it over time causing it to run un-balanced. This eventually causes the pillow block bearings housings to start wearing between the cap and the outerrace of the bearing leading to pre-mature bearing failures.
2561,E-1834,SR-69408,2025-01-28T14:56:42.347000+00:00,4,Dryer A Repair - E-1834 Scrape Walls to remove buildup,The rotating rake in the product cooler that is meant to distribute the product evenly across the louvers often gets the distribution rakes moved out of position due to excessive levels in the cooler and higher than desirable moisture in the cooler. This also wears other mechanical components prematurely as well.
10034,BL-1829,SR-69412,2025-01-28T16:38:08.953000+00:00,4,Dryer A repair- HPW BL-1829,The fan wheel gets product build up on it over time causing it to run un-balanced. This eventually causes the pillow block bearings housings to start wearing between the cap and the outerrace of the bearing leading to pre-mature bearing failures.
,P-1837,SR-69461,2025-01-30T13:52:07.210000+00:00,4,Dryer A repair- system frozen needs thawed PM and verified,Multiple mechanical Seal failures due to poorly controlled water temperature that often gets over heated beyond the seal material specifications
2563,EJ-1837,SR-69462,2025-01-30T13:56:11.363000+00:00,4,Dryer A repair- ssytem frozen EJ needs thawed inspected and service as required,The injection tube often gets clogged up from scale that is a result of using city water in a steam system that should be using RO water. 
10034,BL-1829,SR-70043,2025-03-01T12:42:43.847000+00:00,4,Vib25 - Grease Motor BL-1829,The fan wheel gets product build up on it over time causing it to run un-balanced. This eventually causes the pillow block bearings housings to start wearing between the cap and the outerrace of the bearing leading to pre-mature bearing failures.
10034,BL-1829,SR-70349,2025-03-17T15:33:28.310000+00:00,1,Replace bonding jumpers on BL-1829 inlet and discharge boots,The fan wheel gets product build up on it over time causing it to run un-balanced. This eventually causes the pillow block bearings housings to start wearing between the cap and the outerrace of the bearing leading to pre-mature bearing failures.
,DC-1834,SR-70390,2025-03-19T09:06:07.170000+00:00,1,Verify DC-1834 air pucks - I&E,"The dust collector has alot of moist air that goes through it causing the filter bags to clog off prematurely. This causes poor dust collection and also results in reduced air flow through the dryer system resulting in reduced dyer effeciency, and eventually down time if new filter bags are required to obtain proper air flow."
3686,LT-41310,SR-70470,2025-03-22T01:50:10.077000+00:00,4,LT-41310 (Dryer A sump) is showing bad I/O,"gets build up on sensing rod, giving a fales reading. may just require a different technology. IE touchless"
2563,EJ-1837,SR-70528,2025-03-25T07:58:02.450000+00:00,4,DROA TA25 Spring - Repair leaks on pick heater system for turbo tak,The injection tube often gets clogged up from scale that is a result of using city water in a steam system that should be using RO water. 
,CV-1828,SR-70718,2025-04-03T17:19:20.627000+00:00,1,Packing Gland Has come unbolted CV-1828,"The conveyor has experienced premature bearing failures that has caused excessive down time to the dryer equipment. This is an inlcine auger that takes alot of thrust load, the original spherical roller bearing that was specced out on the conveyor does not take thrust load very well. We have since changed to taper roller style bearing better suited for thrust loads but we have not had enough run time on them to know if this is going to fix the issue."
,P-1837,SR-71118,2025-04-28T09:56:39.747000+00:00,4,DRO TA25 Spring Taco Pump seal is leaking,Multiple mechanical Seal failures due to poorly controlled water temperature that often gets over heated beyond the seal material specifications
2563,EJ-1837,SR-71284,2025-05-07T08:51:55.123000+00:00,4,"DRO - Modify S/S 2"" pipe and re-plumb joints",The injection tube often gets clogged up from scale that is a result of using city water in a steam system that should be using RO water. 
2561,E-1834,SR-71624,2025-05-26T11:31:12.640000+00:00,4,DRO Modify Knee Brace E-1834,The rotating rake in the product cooler that is meant to distribute the product evenly across the louvers often gets the distribution rakes moved out of position due to excessive levels in the cooler and higher than desirable moisture in the cooler. This also wears other mechanical components prematurely as well.
,P-1837,SR-71855,2025-06-08T22:52:42.673000+00:00,4,P-1837 leaking at stem- review design (repeat failure),Multiple mechanical Seal failures due to poorly controlled water temperature that often gets over heated beyond the seal material specifications
,DC-1834,SR-71870,2025-06-09T16:08:03.043000+00:00,1,Inspect Air Pulsers and Bags DC-1834,"The dust collector has alot of moist air that goes through it causing the filter bags to clog off prematurely. This causes poor dust collection and also results in reduced air flow through the dryer system resulting in reduced dyer effeciency, and eventually down time if new filter bags are required to obtain proper air flow."
,DC-1834,SR-71926,2025-06-12T08:21:30.207000+00:00,4,"DRO DC1834 Had product , and standing water on clear air side","The dust collector has alot of moist air that goes through it causing the filter bags to clog off prematurely. This causes poor dust collection and also results in reduced air flow through the dryer system resulting in reduced dyer effeciency, and eventually down time if new filter bags are required to obtain proper air flow."
,DC-1834,SR-71927,2025-06-12T08:54:04.187000+00:00,4,DRO - DC-1834 Replace all couplers on pulser tube,"The dust collector has alot of moist air that goes through it causing the filter bags to clog off prematurely. This causes poor dust collection and also results in reduced air flow through the dryer system resulting in reduced dyer effeciency, and eventually down time if new filter bags are required to obtain proper air flow."
,DC-1834,SR-71930,2025-06-12T09:44:58.637000+00:00,4,DROA DC-1834 Bag should be changed,"The dust collector has alot of moist air that goes through it causing the filter bags to clog off prematurely. This causes poor dust collection and also results in reduced air flow through the dryer system resulting in reduced dyer effeciency, and eventually down time if new filter bags are required to obtain proper air flow."
,RV-1834,SR-72277,2025-07-02T17:59:14.493000+00:00,1,DRO - Rubbing Noise Coming from RV-1834,Rotary Valve amps go high due to product build up around the bearing seals causing extra drag on the rotor. This causes the dryer to go into fast shutdown.
2561,E-1834,SR-72287,2025-07-03T09:33:28.840000+00:00,4,Install and Wire interposing relay on cooler Damper controls,The rotating rake in the product cooler that is meant to distribute the product evenly across the louvers often gets the distribution rakes moved out of position due to excessive levels in the cooler and higher than desirable moisture in the cooler. This also wears other mechanical components prematurely as well.
10034,BL-1829,SR-72760,2025-08-01T10:00:40.710000+00:00,4,Change DE pillow block bearing BL-1829,The fan wheel gets product build up on it over time causing it to run un-balanced. This eventually causes the pillow block bearings housings to start wearing between the cap and the outerrace of the bearing leading to pre-mature bearing failures.
,RV-1834,SR-73143,2025-08-25T08:11:56.570000+00:00,4,Rebuild RV for spare,Rotary Valve amps go high due to product build up around the bearing seals causing extra drag on the rotor. This causes the dryer to go into fast shutdown.
,P-1837,SR-73334,2025-09-04T17:38:28.483000+00:00,4,TA25 Fall P-1837 is leaking... again.,Multiple mechanical Seal failures due to poorly controlled water temperature that often gets over heated beyond the seal material specifications
10034,BL-1829,SR-73379,2025-09-09T07:47:23.567000+00:00,4,TA25 Vib 25 - BL-1829 Change Bearing/Clean Fan Wheel,The fan wheel gets product build up on it over time causing it to run un-balanced. This eventually causes the pillow block bearings housings to start wearing between the cap and the outerrace of the bearing leading to pre-mature bearing failures.
2561,E-1834,SR-73602,2025-09-24T11:54:33.537000+00:00,1,MOC25-052 - Reclassification of Cooler Louver Timer from Tuning Parameters to Operating Parameters,The rotating rake in the product cooler that is meant to distribute the product evenly across the louvers often gets the distribution rakes moved out of position due to excessive levels in the cooler and higher than desirable moisture in the cooler. This also wears other mechanical components prematurely as well.
2561,E-1834,SR-73828,2025-10-07T13:12:12.647000+00:00,4,Air flow measurement on inlet duct to dryer A cooler,The rotating rake in the product cooler that is meant to distribute the product evenly across the louvers often gets the distribution rakes moved out of position due to excessive levels in the cooler and higher than desirable moisture in the cooler. This also wears other mechanical components prematurely as well.
10034,BL-1829,SR-74548,2025-11-21T11:59:36.610000+00:00,4,Vib25 - Balance Fan Wheel,The fan wheel gets product build up on it over time causing it to run un-balanced. This eventually causes the pillow block bearings housings to start wearing between the cap and the outerrace of the bearing leading to pre-mature bearing failures.
2563,EJ-1837,SR-74612,2025-11-25T16:10:45.833000+00:00,4,Leaking flange,The injection tube often gets clogged up from scale that is a result of using city water in a steam system that should be using RO water. 
