Tag_Full,n_points,val_min,val_max,val_mean,val_stddev,raw_p0005,raw_p0010,raw_p0025,raw_p0050,raw_p0100,raw_p0250,raw_p0500,raw_p0750,raw_p0900,raw_p0950,raw_p0975,raw_p0990,raw_p0995,roll_1h_mean_p0005,roll_1h_mean_p0010,roll_1h_mean_p0025,roll_1h_mean_p0050,roll_1h_mean_p0100,roll_1h_mean_p0250,roll_1h_mean_p0500,roll_1h_mean_p0750,roll_1h_mean_p0900,roll_1h_mean_p0950,roll_1h_mean_p0975,roll_1h_mean_p0990,roll_1h_mean_p0995,roll_3h_mean_p0005,roll_3h_mean_p0010,roll_3h_mean_p0025,roll_3h_mean_p0050,roll_3h_mean_p0100,roll_3h_mean_p0250,roll_3h_mean_p0500,roll_3h_mean_p0750,roll_3h_mean_p0900,roll_3h_mean_p0950,roll_3h_mean_p0975,roll_3h_mean_p0990,roll_3h_mean_p0995,roll_6h_mean_p0005,roll_6h_mean_p0010,roll_6h_mean_p0025,roll_6h_mean_p0050,roll_6h_mean_p0100,roll_6h_mean_p0250,roll_6h_mean_p0500,roll_6h_mean_p0750,roll_6h_mean_p0900,roll_6h_mean_p0950,roll_6h_mean_p0975,roll_6h_mean_p0990,roll_6h_mean_p0995,roll_12h_mean_p0005,roll_12h_mean_p0010,roll_12h_mean_p0025,roll_12h_mean_p0050,roll_12h_mean_p0100,roll_12h_mean_p0250,roll_12h_mean_p0500,roll_12h_mean_p0750,roll_12h_mean_p0900,roll_12h_mean_p0950,roll_12h_mean_p0975,roll_12h_mean_p0990,roll_12h_mean_p0995,roll_24h_mean_p0005,roll_24h_mean_p0010,roll_24h_mean_p0025,roll_24h_mean_p0050,roll_24h_mean_p0100,roll_24h_mean_p0250,roll_24h_mean_p0500,roll_24h_mean_p0750,roll_24h_mean_p0900,roll_24h_mean_p0950,roll_24h_mean_p0975,roll_24h_mean_p0990,roll_24h_mean_p0995,roll_48h_mean_p0005,roll_48h_mean_p0010,roll_48h_mean_p0025,roll_48h_mean_p0050,roll_48h_mean_p0100,roll_48h_mean_p0250,roll_48h_mean_p0500,roll_48h_mean_p0750,roll_48h_mean_p0900,roll_48h_mean_p0950,roll_48h_mean_p0975,roll_48h_mean_p0990,roll_48h_mean_p0995,roll_1w_mean_p0005,roll_1w_mean_p0010,roll_1w_mean_p0025,roll_1w_mean_p0050,roll_1w_mean_p0100,roll_1w_mean_p0250,roll_1w_mean_p0500,roll_1w_mean_p0750,roll_1w_mean_p0900,roll_1w_mean_p0950,roll_1w_mean_p0975,roll_1w_mean_p0990,roll_1w_mean_p0995,roll_2w_mean_p0005,roll_2w_mean_p0010,roll_2w_mean_p0025,roll_2w_mean_p0050,roll_2w_mean_p0100,roll_2w_mean_p0250,roll_2w_mean_p0500,roll_2w_mean_p0750,roll_2w_mean_p0900,roll_2w_mean_p0950,roll_2w_mean_p0975,roll_2w_mean_p0990,roll_2w_mean_p0995,roll_1m_mean_p0005,roll_1m_mean_p0010,roll_1m_mean_p0025,roll_1m_mean_p0050,roll_1m_mean_p0100,roll_1m_mean_p0250,roll_1m_mean_p0500,roll_1m_mean_p0750,roll_1m_mean_p0900,roll_1m_mean_p0950,roll_1m_mean_p0975,roll_1m_mean_p0990,roll_1m_mean_p0995
CH-ML:DDGSbuilding.Percent.Moisture,2881,5.639999866,120.3000031,10.401266923265899,2.9900184499258433,6.860000134,7.199999809,7.619999886,8.079999924,8.5,9.390000343,10.40999985,11.35000038,11.89999962,12.03999996,12.60000038,13.44999981,14.18000031,6.860000134,7.199999809,7.619999886,8.029999733,8.479999542,9.390000343,10.43000031,11.38000011,11.89999962,12.10000038,12.64999962,13.44999981,14.25,6.860000134,7.199999809,7.619999886,8.029999733,8.5,9.390000343,10.43000031,11.39000034,11.89999962,12.10000038,12.64999962,13.44999981,14.25,7.0,7.360000134,7.75,8.125,8.529999733,9.399999619,10.440000054999999,11.32499981,11.870000365,12.10000038,12.63000011,13.48999977,14.25,7.1449999805,7.444999933,7.829999924,8.163333575000001,8.5799999235,9.463333447999998,10.44333299,11.310000100000002,11.800000189999999,12.00666682,12.5,13.146666843333334,13.93999958,7.166666666666667,7.5,7.907999992399999,8.25000011925,8.625,9.527999877800001,10.47000027,11.254999875,11.710000037500002,11.9550001625,12.44000006,12.974999905,13.42000008,7.306666692,7.623333295333333,8.0,8.300000191,8.671428544285714,9.571428570857142,10.527142932571428,11.221250058625,11.6325000525,11.96285711,12.375000158333334,12.663333256666666,21.386666721444445,7.550000060636363,7.779999971333335,8.137499928333332,8.345714296428572,8.72961541323077,9.690000017416665,10.580000060392857,11.17791660608333,11.47888893585185,11.833333378095238,12.355217353043479,15.80789470694737,17.1656250984375,7.6974999904166665,7.862916668208334,8.19499998526087,8.46307703153846,8.834722227527777,9.81131566181579,10.5556756867027,11.1010000426,11.439523867190477,11.78627901269767,12.219375073749998,13.381794881153846,14.057666748333336,7.800652151456519,7.870476154952381,8.216603809943395,8.572903256451616,8.916272726890911,9.888591578239437,10.476323548323531,11.058928574848213,11.399270782583331,11.679195409494252,11.916323578338236,12.147538471569238,12.69000006
CH-ML:DDGSbuilding.Percent.Balling,1556,0.449999988,134.1399994,8.949583875426088,6.103963521123782,1.100000024,1.5,2.099999905,2.960000038,3.900000095,5.75,8.430000305,11.67000008,14.23999977,14.86999989,15.02999973,18.46999931,24.03000069,1.399999976,1.700000048,2.690000057,3.319999933,4.179999828,6.119999886,8.739999771,11.90999985,14.31999969,14.88000011,15.14000034,18.79999924,24.03000069,1.399999976,1.700000048,2.690000057,3.319999933,4.179999828,6.119999886,8.779999733,11.90999985,14.31999969,14.88000011,15.14000034,18.79999924,24.03000069,1.399999976,1.700000048,2.690000057,3.319999933,4.179999828,6.099999905,8.779999733,11.89999962,14.31000042,14.86999989,15.10000038,18.79999924,24.03000069,1.6000000239999999,2.139999986,2.970000029,3.7349998954999997,4.53000021,6.300000191,8.935000180500001,11.744999884999999,14.054999825,14.73999977,15.0,19.60000038,27.619999885,2.1600000063333336,2.695000112,3.433333317666667,4.013333320666667,5.0,6.5900001525,8.943333466333334,11.429999827,13.436666806666665,14.35500002,14.86500025,17.0,27.305000305,2.700000048,2.8849999905,3.719999949,4.563333352333333,5.33999991425,6.9050000905,9.069999933,11.127999877799999,13.2300003054,14.005999946,14.76999998,23.32999992,35.015999418,3.096666654,3.79125003525,4.565833389833332,5.218181816,5.8390908891818185,7.215000112833333,9.054999971199999,10.822857141142856,13.147142887142858,14.294285636428569,15.325000047375,19.01999985586667,19.50230759869231,4.359545477272727,4.486923098499999,4.931578949947369,5.54368422531579,5.991851895185186,7.272499968625,9.117391233913043,10.515000012576923,13.275714363821425,14.08999999333333,14.54620677,15.029629477370369,15.263214180321425,5.088461574538463,5.2052381039523805,5.451538513423078,5.663469422714282,6.269999974871794,7.72620002506,8.990749961325003,10.251694913474577,12.539999946406779,13.285593194457626,13.797735835132078,13.949999968140352,14.101379295689657
CH-ML:DryerA.Percent.Balling,1312,0.349999994,232.6000061,23.50612806213339,9.909338243647776,4.0,5.0,9.0,11.31000042,13.94999981,18.09000015,22.54000092,28.5,33.75999832,37.90999985,41.5,45.41999817,48.0,4.0,5.0,9.0,11.31000042,13.94999981,18.12000084,22.57999992,28.54000092,33.77999878,37.90999985,41.5,45.41999817,48.0,4.0,5.0,9.0,11.31000042,13.94999981,18.12000084,22.57999992,28.54000092,33.77999878,37.90999985,41.5,45.41999817,48.0,4.0,5.0,9.0,11.31000042,13.97999954,18.13999939,22.57999992,28.54000092,33.77999878,37.90999985,41.5,45.41999817,48.0,4.0,5.130000114,9.920000076,11.900000095,14.30000019,18.555000305,22.91499996,27.93000031,32.90999985,36.49500084,40.40999985,44.60499954,47.125,5.059999942999999,8.32499981,11.369999648499999,12.890000026666664,15.359999655,19.10000038,23.10000038,27.45999908,31.89999962,34.996667226666666,38.155000685000005,41.783334096666664,44.09333292333334,9.0,10.236666678666667,12.220000030000001,13.580000162500001,15.73999977,19.450000285,23.3400001525,27.296666463333334,31.193999864,33.4,35.807499885,41.48750019,43.41199951,12.058888860000001,12.466666579666665,13.59777779111111,15.0000002375,17.237500190000002,19.819999774166664,23.486666415222224,26.11214263071429,29.906922706923076,32.11000013285714,36.78909076181818,38.585000593833335,39.475333275333334,12.857368369473683,13.981363643636366,14.555909070454545,15.484999835624999,17.263333478333333,19.957222303055556,23.509999933103447,25.64842103631579,29.099999932941174,32.065185158518524,33.681154030769235,37.26916662749999,38.22750003999999,14.0172499899,14.200000000200001,14.74707319697561,15.93975007585,17.7593750950625,20.035918372040815,23.568888964814814,25.6772725939394,27.823750137499996,30.806896555189653,33.00849058,34.281960842156856,34.54518530055556
CH-ML:TK1602.Percent.Solids,1580,12.60000038,38015.0,59.07969621170249,955.5392838893239,24.78000069,27.10000038,28.06999969,28.92000008,30.07999992,32.79000092,35.02999878,37.13000107,39.29999924,40.11999893,40.93999863,41.70000076,42.20000076,24.79000092,27.29000092,28.09000015,28.92000008,30.04999924,32.86999893,35.15999985,37.25999832,39.36999893,40.16999817,40.97000122,41.70000076,42.20000076,24.79000092,27.29000092,28.09000015,28.92000008,30.04999924,32.88000107,35.15999985,37.25999832,39.36999893,40.16999817,40.97000122,41.70000076,42.20000076,24.79000092,27.29000092,28.09000015,28.92000008,30.03000069,32.88999939,35.15999985,37.25999832,39.36999893,40.16999817,40.97000122,41.70000076,42.24000168,24.974999905,27.37999916,28.109999655,28.944999695,29.98999977,32.93999958,35.140001299999994,37.29999924,39.35000038,40.13999939,40.79999924,41.684999465000004,42.20000076,26.586667379999998,27.553333280000004,28.189999896666667,28.89999962,30.069999696666667,33.096665699999996,35.11999893,37.17333221333333,39.19666671666667,40.029998775,40.609998704999995,41.35666656666667,41.86666615666667,27.637999726000004,27.90666675666667,28.41750002,29.051666578333336,30.139999769999996,33.0950002675,35.040000154,37.2100000375,39.14333343333334,39.96000035666666,40.52499962,41.13499832,42.09999943,28.071874975,28.343332925333332,28.781875013125003,29.193999988666665,30.42000021357143,33.103637002727275,34.91142845142858,37.000000478749996,39.094166755,39.77555550555556,40.3241662975,68.48333327,3201.239166576667,28.400666554,28.468275859655176,28.66964278928571,29.4258620162069,30.589230831538462,33.2248151562963,34.87173909652174,37.00607163571429,39.127999624666664,39.61095246761905,40.22565203173912,1762.3940909990908,1845.215238116667,28.532950666557372,28.701639237377044,29.043606492459013,29.828196759999997,30.903124928125003,33.72285718367348,34.897333208666666,37.192727523272715,39.22170741365853,39.67975597780487,826.6918749804166,941.0395238973807,963.5968292982927
CH-ML:DryerD.Percent.Balling,1139,2.0,178.8300018,14.471316966344158,8.902039403879042,3.25,3.930000067,4.599999905,5.119999886,6.449999809,8.659999847,13.48999977,18.44000053,22.79999924,26.89999962,30.60000038,38.68999863,42.29999924,3.25,3.900000095,4.550000191,5.03000021,6.400000095,8.600000381,13.23999977,18.06999969,22.70000076,27.04999924,31.26000023,40.15999985,42.29999924,3.25,3.900000095,4.550000191,5.03000021,6.400000095,8.600000381,13.23999977,18.06999969,22.70000076,27.04999924,31.26000023,40.15999985,42.29999924,3.25,3.900000095,4.5,5.03000021,6.449999809,8.600000381,13.23999977,18.06999969,22.5,26.89999962,31.26000023,40.15999985,42.29999924,3.900000095,4.0,4.724999904500001,5.515000105,6.579999924,8.640000343,13.23999977,18.226666453333333,22.664999965,26.07999992,30.60000038,40.15999985,51.200000765,3.559999943,4.0,4.839999993666667,5.7999998726666675,6.646666685666666,8.710000038333334,13.384999749999999,18.09666697,22.293333686666667,25.339999516666666,29.64999962,38.22333399666667,49.199998855000004,3.69250005475,4.25,5.17000007625,6.0,6.689999961800001,8.9819998742,13.5139999384,18.039999962000003,21.819999696,24.215000152499996,28.952499867500002,37.0050005925,44.543332416666665,4.901538555461539,5.075714332714285,5.9500000475,6.48454549090909,6.976000054866668,9.083333491833333,13.89461539353846,18.303333440833335,21.618888961111114,24.86428547,29.433749915,34.912000176,38.157999992,5.9500000475,6.3560000418,6.693214331464285,6.9011538945769235,7.503125012125,9.185882371764706,13.909523782571428,18.66842114321053,21.581538127692305,24.78227277086364,28.204166690416667,30.551363641363636,31.31857163285714,6.768596532122808,6.780000042092594,6.837222284814816,7.269565229826086,8.214333343333333,9.493076911384616,13.915192273346149,19.099736840894735,21.826792501132076,24.3276001344,25.765869596543478,26.58791665208334,29.178823692941176
CH-ML:DDGSbuilding.Hunter.Lab.L,1570,0.0,58.70000076,44.50006368838471,3.1840480849580306,38.20000076,39.25999832,40.13999939,41.02000046,41.22999954,42.54999924,44.31000137,46.20000076,48.09999847,49.40000153,50.47999954,51.56999969,52.90000153,38.29999924,39.52999878,40.52000046,41.06000137,41.38000107,42.86000061,44.5,46.27999878,48.16999817,49.36999893,50.47999954,51.56999969,52.90000153,38.29999924,39.52999878,40.52000046,41.06000137,41.38000107,42.86000061,44.5,46.27999878,48.16999817,49.36999893,50.47999954,51.56999969,52.90000153,38.29999924,39.52999878,40.50999832,41.06000137,41.38000107,42.88000107,44.5,46.27999878,48.16999817,49.36999893,50.47999954,51.56999969,52.90000153,38.24500084,39.70000076,40.574998855000004,41.06000137,41.43000031,42.91999817,44.484998700000006,46.200000765,48.09999847,49.09999847,50.20000076,51.47999954,52.74500084,37.493333183333334,39.969999953333335,40.684999465000004,41.14333343333334,41.570001605,42.96666717666667,44.50999832,46.13333256666667,47.824998855000004,48.899999615,50.050001144999996,51.25333277333334,52.200000765,37.238000108,38.29999924,40.591999818,41.18999958,41.6724996575,43.022499085,44.48500061,46.04999924,47.732000732,48.75499916,49.88999938999999,51.0249996175,51.393999480000005,39.87222184155556,40.45800031066667,40.95800031066666,41.33571434071429,41.795333608,43.11071423285715,44.421666780833334,45.95000028625,47.537000275,48.45222261222223,49.568332670833335,50.772000122,51.804000472999995,40.96419352967742,41.13774195129033,41.45999984766667,41.72166697083333,42.06538471807692,43.269230474999986,44.44846182576922,45.74500015785715,47.216956594782616,48.499999998571425,49.31384629461539,50.60736806631578,51.0520002365,41.567301553492065,41.692580623064515,41.92647081235294,42.111186334067774,42.440701970350865,43.520799712400006,44.505416552291656,45.66533330199998,47.32684225736843,48.31499997264706,49.588947697368404,50.123414573902444,50.20999992121952
CH-ML:DryerA.Hunter.Lab.L,1318,16.96999931,4042.0,46.62940814165398,110.17540461231336,35.95000076,36.75999832,38.13000107,39.20999908,40.34999847,41.81000137,43.70000076,45.43999863,47.0,48.0,49.11999893,50.20000076,51.29999924,35.95000076,36.77999878,38.15000153,39.22999954,40.36000061,41.79999924,43.70000076,45.43000031,47.0,48.0,49.09999847,50.20000076,51.29999924,35.95000076,36.77999878,38.15000153,39.22999954,40.36000061,41.79999924,43.70000076,45.43000031,47.0,48.0,49.09999847,50.20000076,51.29999924,35.95000076,36.77999878,38.15000153,39.22999954,40.36000061,41.79999924,43.68999863,45.43000031,46.99000168,47.97000122,49.09999847,50.20000076,51.29999924,35.95000076,37.27000046,38.594999310000006,39.43000031,40.38999939,41.965000155,43.65000153,45.29999924,46.86999893,47.90000153,48.90000153,49.875,50.95000076,36.59500122,37.510000866666665,38.81000137,39.48333358666667,40.450000762500004,42.06666692333333,43.56999969333334,45.23333359,46.74333318,47.70000076,48.694999695,49.649999615,50.5,37.0200004575,37.924999235,38.990000152,39.822000122,40.5425004975,42.166000366,43.5874996175,45.10000038,46.48666763333333,47.62749958,48.393999482,49.649999615,50.20666631,38.400000255,39.134666697333344,39.85785729571428,40.26272756545454,41.219230943846156,42.32666693888889,43.466000367999996,44.891999816,46.34888882111111,47.338888804444444,48.073334378333335,49.7649998675,374.67833264666683,39.80950012249999,40.076071330000005,40.289615337307694,40.59999967789472,41.326999663,42.490000108235286,43.662999723999995,44.83117630882354,46.15214293285713,47.42000007666667,48.83105247947369,202.44639968840013,202.97279983479999,40.605476106666664,40.75245606298247,40.9922502525,41.17705894941177,41.54689683620689,42.906110975833336,43.63870380555556,45.190731792439024,46.5011425017143,48.03090898909091,117.41999953622647,119.29788442750007,120.66941137843142
CH-ML:DryerA.Percent.Moisture,1322,3.670000076,20.5,10.967950091189884,2.017128493232779,6.559999943,7.0,7.599999905,8.010000229,8.5,9.539999962,10.84000015,12.28999996,13.72000027,14.51000023,14.93000031,15.81999969,16.23999977,6.559999943,7.0,7.599999905,8.010000229,8.5,9.539999962,10.85999966,12.30000019,13.72000027,14.51000023,15.06000042,15.81999969,16.23999977,6.559999943,7.0,7.599999905,8.010000229,8.5,9.539999962,10.85999966,12.30000019,13.72000027,14.51000023,15.06000042,15.81999969,16.23999977,6.559999943,7.0,7.599999905,8.020000458,8.5,9.539999962,10.85999966,12.30000019,13.72000027,14.51000023,15.06000042,15.81999969,16.23999977,6.400000095,7.0,7.599999905,8.050000191,8.510000229,9.539999962,10.880000115000001,12.26000023,13.670000075,14.43999958,14.924999715,15.64999962,15.97999954,6.7299998599999995,7.239999930000001,7.805000067,8.1749999525,8.519999981,9.579999922333334,10.869999886666667,12.246666589999998,13.643333433333332,14.310000103333332,14.710000035,15.23333295,15.62000036,7.127499938,7.420000076,8.019999981,8.2975001335,8.589999834666665,9.596666653666668,10.8999998575,12.165999794,13.644999982500002,14.159999846666667,14.634000015999998,14.89666652666667,15.06000042,7.70249998575,7.971666654,8.359999974666668,8.534166733666666,8.7850000855,9.6486666996,10.939999938625,12.158571244142857,13.203999994999998,13.930000017999998,14.307333374,14.535714352857141,14.647499800000002,7.906000042,8.100000381,8.420000076,8.6220000584,8.91461533776923,9.720740847740739,10.850588293764705,12.139000033500002,13.100869510434784,13.462105197894738,14.173157942105263,14.317143031428571,14.417500087142855,7.923529484764706,8.083157915894736,8.393750071500001,8.630000114333333,8.888333411333333,10.03612245863265,10.800322655322582,11.996000027650002,12.762000051966664,13.17880950561905,13.546363605490914,13.823793115172414,14.079824581578947
CH-ML:TK1601.Percent.Solids,1567,6.099999905,803.0,9.678682099610066,20.51797670503495,6.599999905,6.900000095,7.199999809,7.599999905,7.929999828,8.449999809,9.020000458,9.630000114,10.10000038,10.31999969,10.52999973,10.80000019,11.34000015,6.699999809,6.900000095,7.199999809,7.510000229,7.900000095,8.409999847,9.0,9.579999924,10.02999973,10.27999973,10.47999954,10.72000027,10.90999985,6.699999809,6.900000095,7.199999809,7.510000229,7.900000095,8.409999847,9.0,9.579999924,10.02999973,10.27999973,10.47999954,10.72000027,10.90999985,6.699999809,6.900000095,7.199999809,7.510000229,7.900000095,8.409999847,9.0,9.579999924,10.02999973,10.27999973,10.47999954,10.72000027,10.90999985,6.840000153,7.0499999525,7.329999924,7.599999905,7.960000038,8.449999809,9.0,9.600000381,10.02000046,10.215000155,10.409999846,10.625,11.19999981,7.0,7.164999962,7.400000095,7.656666437666666,7.933333397000001,8.4466664,8.970000267000001,9.573333104333333,10.010000229,10.195000173,10.359999973333332,10.553333283333332,21.210000037333334,6.95249998575,7.2000001273333325,7.47250008575,7.705000043249999,7.975000023750001,8.475000023749999,8.962499857000001,9.55250000925,9.98199997,10.1600000384,10.347999953999999,10.508000182,23.5959991458,7.1799999645714285,7.267500003166666,7.439999951333332,7.72636357209091,8.023333443444445,8.474166631666668,8.939166625416668,9.598666636133334,9.930643012857145,10.174615493000003,12.630833307333335,22.7045828772,87.98700003629999,7.1799999645714285,7.3220000268000005,7.422500014250001,7.715263165947367,8.01619055152381,8.511153917999998,9.0040000919,9.656296306481481,10.011818192181819,11.177727222227274,16.149780446736845,48.36500012869999,52.633888827444444,7.4276000214,7.474705948529412,7.610909115151514,7.829250001849999,8.107500046479165,8.592666668311113,9.090769254179488,9.839516086032257,10.257254899588236,11.96766190927778,27.03000004346511,27.939756160853648,28.43049999485
CH-ML:DryerD.Hunter.Lab.L,1141,4.40625,54.0,41.32255582185449,3.4903744085172512,31.10000038,34.91999817,36.34000015,37.20999908,38.09999847,39.50999832,41.08000183,43.04999924,45.54000092,46.77000046,47.70000076,48.99000168,50.0,31.10000038,35.15000153,36.59999847,37.50999832,38.29000092,39.65000153,41.16999817,43.09999847,45.5,46.59999847,47.68999863,48.5,49.29999924,31.10000038,35.15000153,36.59999847,37.50999832,38.29000092,39.65000153,41.16999817,43.09999847,45.5,46.59999847,47.68999863,48.5,49.29999924,31.10000038,35.15000153,36.59999847,37.50999832,38.29999924,39.65000153,41.16999817,43.11000061,45.5,46.59999847,47.68999863,48.5,49.29999924,26.25500059,35.520000455,36.87000084,37.684999465000004,38.440000534999996,39.690000534999996,41.20000076,43.09999847,45.59999847,46.700000765,47.59999847,48.18999863,49.10000038,29.42666689533333,30.87666670333333,36.819999695,37.64999898,38.386666616666666,39.683334349999996,41.170000075000004,43.056666056666664,45.575000765,46.560001373333336,47.265001295000005,48.066666919999996,48.575000765,33.565000295,33.883999632,35.89666684333333,37.704999924999996,38.381999206,39.65499973,41.18999958,42.880001066666665,45.40000153,46.39999962,47.22999954,47.986666363333335,48.325000765,35.87666702333333,36.23400007866667,37.332000732,38.066667556666665,38.56499998857144,39.679090674545456,41.05454496818181,42.889999706666664,45.298461033846145,46.13750076375,46.874999617,47.94999967285714,48.107777491111115,37.35285758857144,37.606250523750006,37.90851872037037,38.44573277482759,38.80814838444444,39.6980001832,40.904166222083326,42.678518224814816,44.934999847,45.97049979999999,46.84521766391304,47.78823538470588,47.99071393714285,37.606250523750006,37.666666824166676,38.49677892884615,38.729999757735854,39.00755526155555,39.748780413414636,40.924489469387765,42.35409849190164,44.89813951000001,45.995128141794865,46.75000054428572,47.018095108095245,47.08545442136364
CH-ML:DryerD.Percent.Moisture,1149,5.610000134,50.70000076,10.26245257041427,2.6984515967975695,6.269999981,6.460000038,6.78000021,7.199999809,7.71999979,8.739999771,9.970000267,11.28999996,12.5,13.85000038,15.80000019,19.42000008,24.71999931,6.269999981,6.400000095,6.760000229,7.199999809,7.710000038,8.699999809,9.930000305,11.30000019,12.52999973,13.93999958,15.80000019,20.5,24.71999931,6.269999981,6.400000095,6.760000229,7.199999809,7.710000038,8.699999809,9.930000305,11.30000019,12.52999973,13.93999958,15.80000019,20.5,24.71999931,6.28000021,6.460000038,6.78000021,7.199999809,7.710000038,8.699999809,9.949999809,11.31000042,12.55000019,14.01000023,15.80000019,20.5850000395,24.71999931,6.489999771,6.5799999235,6.960000038,7.300000191,7.800000191,8.760000229,10.02000046,11.23999977,12.494999884999999,13.465000155,15.69999981,19.44000006,22.689999899666663,6.53000021,6.7400000095,7.033333460666667,7.3849999905,7.845000267,8.8499999045,10.016666409666668,11.240000245000001,12.2999997145,13.216666859999998,14.89999962,19.106666563333334,21.409999845,6.6560000420000005,6.760000069999999,7.1125000715,7.5479999542,7.9650000335,9.057499765500001,10.08250009925,11.192000197799999,12.165999792,12.927999875999998,13.87500024,17.299999873,19.25,6.8645455187272715,7.099999905,7.5299999715000006,7.847142832428571,8.187272721636363,9.279166619249999,10.171428407857144,11.00200004533333,12.0400002025,12.815833210999998,13.23250007625,14.30500031,16.08444446922222,7.461666584166667,7.5669999598999995,7.912000036099999,8.055000001590908,8.419411743352942,9.354444662555556,10.294814886814814,11.0283999634,11.754782634782611,12.101153776923079,12.764074078148145,12.926296339999999,14.3173333482,7.710000038,7.806250035625002,8.028181812818183,8.326250016500001,8.6766668955,9.442973033810807,10.198333334055555,10.769615430307692,11.55560003262,11.999038494596153,12.232452878471697,12.391320804339623,13.327096785451614
